,Date,Holiday,Year,Day
0,2025-01-01,New Year's,2025,Wednesday
1,2025-01-20,Martin Luther,2025,Monday
2,2025-05-26,Memorial Day,2025,Monday
3,2025-06-19,Juneteenth Day,2025,Thursday
4,2025-07-04,Independence Day,2025,Friday
5,2025-09-01,Labor Day,2025,Monday
6,2025-10-13,Columbus Day,2025,Monday
7,2025-11-04,Election Day,2025,Tuesday
8,2025-11-11,Veterans Day,2025,Tuesday
9,2025-11-27,Thanksgiving Day,2025,Thursday
10,2025-12-25,Christmas Day,2025,Thursday
11,2025-01-26,New Year's,2025,Sunday
12,2024-01-01,New Year's,2024,Monday
13,2024-01-15,Martin Luther,2024,Monday
14,2024-05-27,Memorial Day,2024,Monday
15,2024-06-19,Juneteenth Day,2024,Wednesday
16,2024-07-04,Independence Day,2024,Thursday
17,2024-09-02,Labor Day,2024,Monday
18,2024-10-14,Columbus Day,2024,Monday
19,2024-11-05,Election Day,2024,Tuesday
20,2024-11-11,Veterans Day,2024,Monday
21,2024-11-28,Thanksgiving Day,2024,Thursday
22,2024-12-25,Christmas Day,2024,Wednesday
23,2024-01-25,New Year's,2024,Thursday
24,2023-01-01,New Year's,2023,Sunday
25,2023-01-02,New Year's,2023,Monday
26,2023-01-16,Martin Luther,2023,Monday
27,2023-05-29,Memorial Day,2023,Monday
28,2023-06-19,Juneteenth Day,2023,Monday
29,2023-07-04,Independence Day,2023,Tuesday
30,2023-09-04,Labor Day,2023,Monday
31,2023-10-09,Columbus Day,2023,Monday
32,2023-11-07,Election Day,2023,Tuesday
33,2023-11-10,Veterans Day,2023,Friday
34,2023-11-11,Veterans Day,2023,Saturday
35,2023-11-23,Thanksgiving Day,2023,Thursday
36,2023-12-25,Christmas Day,2023,Monday
37,2023-01-24,New Year's,2023,Tuesday
38,2022-01-01,New Year's,2022,Saturday
39,2022-01-17,Martin Luther,2022,Monday
40,2022-05-30,Memorial Day,2022,Monday
41,2022-06-19,Juneteenth Day,2022,Sunday
42,2022-06-20,Juneteenth Day,2022,Monday
43,2022-07-04,Independence Day,2022,Monday
44,2022-09-05,Labor Day,2022,Monday
45,2022-10-10,Columbus Day,2022,Monday
46,2022-11-08,Election Day,2022,Tuesday
47,2022-11-11,Veterans Day,2022,Friday
48,2022-11-24,Thanksgiving Day,2022,Thursday
49,2022-12-25,Christmas Day,2022,Sunday
50,2022-12-26,Christmas Day,2022,Monday
51,2022-01-23,New Year's,2022,Sunday
52,2022-02-23,New Year's,2022,Wednesday
