variable,type,role,source
row_id,,id,original
category,,id,original
identifier,,id,original
call_type,,id,original
incident_date,,id,original
count_lag1,,predictor,original
count_lag7,,predictor,original
count_lag14,,predictor,original
count_lag1_roll_7,,predictor,original
count_lag1_roll_14,,predictor,original
count_lag1_roll_28,,predictor,original
count_lag1_roll_56,,predictor,original
AvgTemperature,,predictor,original
count,,outcome,original
holiday_X0,,predictor,derived
holiday_X1,,predictor,derived
Prec_X0,,predictor,derived
Prec_X1,,predictor,derived
SF_X0,,predictor,derived
SF_X1,,predictor,derived
dow_Friday,,predictor,derived
dow_Monday,,predictor,derived
dow_Saturday,,predictor,derived
dow_Sunday,,predictor,derived
dow_Thursday,,predictor,derived
dow_Tuesday,,predictor,derived
dow_Wednesday,,predictor,derived
