Date,MaxTemperature,MinTemperature,AvgTemperature,Precipitation,Snowfall,SnowDepth
2022-01-01,56,50,53.0,0.79,0,0
2022-01-02,59,37,48.0,0.04,0,0
2022-01-03,37,22,29.5,0,0,0
2022-01-04,34,19,26.5,0,0,0
2022-01-05,47,31,39.0,0.23,0,0
2022-01-06,41,34,37.5,0,0,0
2022-01-07,34,25,29.5,0.38,5.8,6
2022-01-08,30,20,25.0,0,0,3
2022-01-09,40,29,34.5,0.1,0,3
2022-01-10,40,24,32.0,0,0,0
2022-01-11,24,15,19.5,0.009,0.09,0.9
2022-01-12,40,20,30.0,0,0,0
2022-01-13,48,34,41.0,0,0,0
2022-01-14,43,21,32.0,0,0,0
2022-01-15,21,10,15.5,0,0,0
2022-01-16,37,10,23.5,0.37,0.8,0
2022-01-17,44,34,39.0,1.16,0.09,0
2022-01-18,36,29,32.5,0,0,0
2022-01-19,49,28,38.5,0,0,0
2022-01-20,46,22,34.0,0.3,0.09,0
2022-01-21,22,14,18.0,0,0,0
2022-01-22,29,13,21.0,0,0,0
2022-01-23,37,24,30.5,0.02,0.2,0
2022-01-24,36,26,31.0,0.009,0.09,0.9
2022-01-25,42,28,35.0,0,0,0
2022-01-26,28,20,24.0,0,0,0
2022-01-27,32,17,24.5,0,0,0
2022-01-28,32,29,30.5,0.13,1.2,0
2022-01-29,29,12,20.5,0.77,7.3,6
2022-01-30,26,12,19.0,0,0,7
2022-01-31,31,21,26.0,0,0,6
2022-02-01,36,23,29.5,0,0,6
2022-02-02,47,32,39.5,0,0,4
2022-02-03,52,42,47.0,0.42,0,2
2022-02-04,57,26,41.5,0.72,0.09,0
2022-02-05,27,19,23.0,0,0,0
2022-02-06,30,17,23.5,0,0,0
2022-02-07,37,30,33.5,0.15,0.09,0
2022-02-08,45,32,38.5,0.07,0,0
2022-02-09,46,29,37.5,0,0,0
2022-02-10,54,37,45.5,0,0,0
2022-02-11,57,38,47.5,0,0,0
2022-02-12,59,42,50.5,0,0,0
2022-02-13,42,25,33.5,0.23,1.6,1
2022-02-14,25,16,20.5,0,0,1
2022-02-15,30,16,23.0,0,0,0.9
2022-02-16,49,28,38.5,0,0,0
2022-02-17,68,49,58.5,0.31,0,0
2022-02-18,63,27,45.0,0.33,0,0
2022-02-19,40,23,31.5,0.009,0.09,0
2022-02-20,36,21,28.5,0,0,0
2022-02-21,55,32,43.5,0,0,0
2022-02-22,61,37,49.0,0.26,0,0
2022-02-23,68,35,51.5,0,0,0
2022-02-24,35,29,32.0,0,0,0
2022-02-25,41,26,33.5,0.74,0.4,0.9
2022-02-26,37,24,30.5,0,0,0
2022-02-27,48,28,38.0,0,0,0
2022-02-28,36,26,31.0,0,0,0
2022-03-01,48,31,39.5,0,0,0
2022-03-02,52,40,46.0,0,0,0
2022-03-03,48,24,36.0,0.03,0,0
2022-03-04,37,21,29.0,0,0,0
2022-03-05,46,32,39.0,0,0,0
2022-03-06,68,43,55.5,0.06,0,0
2022-03-07,74,50,62.0,0.03,0,0
2022-03-08,50,39,44.5,0,0,0
2022-03-09,41,33,37.0,0.56,0.4,0
2022-03-10,51,33,42.0,0,0,0.9
2022-03-11,55,40,47.5,0,0,0
2022-03-12,48,24,36.0,0.5,0.09,0
2022-03-13,35,22,28.5,0.009,0.09,0
2022-03-14,56,33,44.5,0,0,0
2022-03-15,68,46,57.0,0.009,0,0
2022-03-16,67,48,57.5,0,0,0
2022-03-17,53,45,49.0,0.08,0,0
2022-03-18,74,50,62.0,0,0,0
2022-03-19,70,49,59.5,0.05,0,0
2022-03-20,61,46,53.5,0,0,0
2022-03-21,62,44,53.0,0,0,0
2022-03-22,58,43,50.5,0,0,0
2022-03-23,49,38,43.5,0.06,0,0
2022-03-24,47,38,42.5,0.93,0,0
2022-03-25,60,44,52.0,0.02,0,0
2022-03-26,53,42,47.5,0.009,0,0
2022-03-27,46,28,37.0,0.009,0.09,0
2022-03-28,33,23,28.0,0,0,0
2022-03-29,38,24,31.0,0,0,0
2022-03-30,47,29,38.0,0,0,0
2022-03-31,66,45,55.5,0.07,0,0
2022-04-01,61,43,52.0,0.28,0,0
2022-04-02,54,38,46.0,0,0,0
2022-04-03,48,40,44.0,0.12,0,0
2022-04-04,54,39,46.5,0,0,0
2022-04-05,57,45,51.0,0.04,0,0
2022-04-06,53,44,48.5,0.45,0,0
2022-04-07,54,45,49.5,1.12,0,0
2022-04-08,65,49,57.0,0.03,0,0
2022-04-09,55,47,51.0,0.05,0,0
2022-04-10,50,42,46.0,0.009,0,0
2022-04-11,61,40,50.5,0,0,0
2022-04-12,72,50,61.0,0.07,0,0
2022-04-13,71,55,63.0,0,0,0
2022-04-14,79,57,68.0,0.06,0,0
2022-04-15,70,52,61.0,0,0,0
2022-04-16,73,44,58.5,0.2,0,0
2022-04-17,51,41,46.0,0,0,0
2022-04-18,54,39,46.5,0.85,0,0
2022-04-19,50,39,44.5,1.24,0,0
2022-04-20,60,42,51.0,0,0,0
2022-04-21,59,44,51.5,0,0,0
2022-04-22,70,53,61.5,0,0,0
2022-04-23,65,51,58.0,0,0,0
2022-04-24,63,48,55.5,0,0,0
2022-04-25,58,46,52.0,0,0,0
2022-04-26,60,52,56.0,0.02,0,0
2022-04-27,58,41,49.5,0,0,0
2022-04-28,58,40,49.0,0,0,0
2022-04-29,63,41,52.0,0,0,0
2022-04-30,68,44,56.0,0,0,0
2022-05-01,69,47,58.0,0.009,0,0
2022-05-02,56,51,53.5,0.23,0,0
2022-05-03,62,51,56.5,0,0,0
2022-05-04,65,50,57.5,0.08,0,0
2022-05-05,74,56,65.0,0,0,0
2022-05-06,61,49,55.0,0.69,0,0
2022-05-07,50,45,47.5,0.92,0,0
2022-05-08,58,45,51.5,0.009,0,0
2022-05-09,70,47,58.5,0,0,0
2022-05-10,73,51,62.0,0,0,0
2022-05-11,75,53,64.0,0,0,0
2022-05-12,75,58,66.5,0,0,0
2022-05-13,72,57,64.5,0.03,0,0
2022-05-14,72,60,66.0,0.22,0,0
2022-05-15,76,60,68.0,0.1,0,0
2022-05-16,75,61,68.0,0.12,0,0
2022-05-17,77,57,67.0,0,0,0
2022-05-18,72,55,63.5,0.01,0,0
2022-05-19,66,54,60.0,0.73,0,0
2022-05-20,69,55,62.0,0.4,0,0
2022-05-21,90,62,76.0,0,0,0
2022-05-22,89,72,80.5,0,0,0
2022-05-23,73,61,67.0,0,0,0
2022-05-24,67,57,62.0,0.009,0,0
2022-05-25,70,53,61.5,0,0,0
2022-05-26,70,54,62.0,0,0,0
2022-05-27,80,65,72.5,0.27,0,0
2022-05-28,74,63,68.5,0.72,0,0
2022-05-29,77,59,68.0,0,0,0
2022-05-30,84,63,73.5,0,0,0
2022-05-31,93,65,79.0,0,0,0
2022-06-01,72,60,66.0,0.71,0,0
2022-06-02,79,62,70.5,0.45,0,0
2022-06-03,76,62,69.0,0.009,0,0
2022-06-04,80,61,70.5,0,0,0
2022-06-05,77,57,67.0,0,0,0
2022-06-06,80,63,71.5,0,0,0
2022-06-07,78,63,70.5,0.08,0,0
2022-06-08,82,66,74.0,0.03,0,0
2022-06-09,81,65,73.0,0.83,0,0
2022-06-10,77,63,70.0,0,0,0
2022-06-11,74,66,70.0,0.009,0,0
2022-06-12,72,63,67.5,0.05,0,0
2022-06-13,85,68,76.5,0.009,0,0
2022-06-14,81,68,74.5,0,0,0
2022-06-15,83,66,74.5,0,0,0
2022-06-16,71,61,66.0,0.32,0,0
2022-06-17,88,69,78.5,0,0,0
2022-06-18,75,58,66.5,0,0,0
2022-06-19,73,54,63.5,0,0,0
2022-06-20,78,57,67.5,0,0,0
2022-06-21,80,63,71.5,0.06,0,0
2022-06-22,67,62,64.5,0.02,0,0
2022-06-23,74,61,67.5,0.08,0,0
2022-06-24,81,63,72.0,0,0,0
2022-06-25,90,69,79.5,0,0,0
2022-06-26,89,74,81.5,0,0,0
2022-06-27,77,69,73.0,0.29,0,0
2022-06-28,79,66,72.5,0,0,0
2022-06-29,84,66,75.0,0,0,0
2022-06-30,86,69,77.5,0,0,0
2022-07-01,91,73,82.0,0,0,0
2022-07-02,87,73,80.0,0.009,0,0
2022-07-03,88,73,80.5,0,0,0
2022-07-04,85,65,75.0,0,0,0
2022-07-05,87,70,78.5,0.09,0,0
2022-07-06,85,71,78.0,0,0,0
2022-07-07,84,69,76.5,0,0,0
2022-07-08,83,68,75.5,0.24,0,0
2022-07-09,85,71,78.0,0,0,0
2022-07-10,83,67,75.0,0,0,0
2022-07-11,85,67,76.0,0,0,0
2022-07-12,90,70,80.0,0,0,0
2022-07-13,91,74,82.5,0,0,0
2022-07-14,90,72,81.0,0,0,0
2022-07-15,86,73,79.5,0,0,0
2022-07-16,85,66,75.5,1.11,0,0
2022-07-17,83,71,77.0,0.009,0,0
2022-07-18,81,69,75.0,1.85,0,0
2022-07-19,90,73,81.5,0,0,0
2022-07-20,95,78,86.5,0,0,0
2022-07-21,92,74,83.0,0.16,0,0
2022-07-22,94,78,86.0,0.009,0,0
2022-07-23,95,78,86.5,0,0,0
2022-07-24,95,79,87.0,0,0,0
2022-07-25,86,73,79.5,0.98,0,0
2022-07-26,81,71,76.0,0,0,0
2022-07-27,85,70,77.5,0,0,0
2022-07-28,87,73,80.0,0.02,0,0
2022-07-29,85,72,78.5,0.1,0,0
2022-07-30,87,73,80.0,0.009,0,0
2022-07-31,86,71,78.5,0.009,0,0
2022-08-01,77,68,72.5,0.48,0,0
2022-08-02,90,72,81.0,0.009,0,0
2022-08-03,89,71,80.0,0,0,0
2022-08-04,93,76,84.5,0,0,0
2022-08-05,89,78,83.5,0,0,0
2022-08-06,92,77,84.5,0,0,0
2022-08-07,92,76,84.0,0.16,0,0
2022-08-08,93,79,86.0,0,0,0
2022-08-09,97,78,87.5,0.03,0,0
2022-08-10,87,75,81.0,0,0,0
2022-08-11,89,72,80.5,0.11,0,0
2022-08-12,85,71,78.0,0,0,0
2022-08-13,79,65,72.0,0,0,0
2022-08-14,82,66,74.0,0,0,0
2022-08-15,83,68,75.5,0,0,0
2022-08-16,83,66,74.5,0,0,0
2022-08-17,81,63,72.0,0.34,0,0
2022-08-18,87,62,74.5,0,0,0
2022-08-19,90,69,79.5,0,0,0
2022-08-20,90,74,82.0,0,0,0
2022-08-21,82,72,77.0,0,0,0
2022-08-22,79,73,76.0,0.23,0,0
2022-08-23,86,72,79.0,0.009,0,0
2022-08-24,90,71,80.5,0,0,0
2022-08-25,91,72,81.5,0,0,0
2022-08-26,87,74,80.5,0.24,0,0
2022-08-27,90,74,82.0,0,0,0
2022-08-28,82,73,77.5,0,0,0
2022-08-29,85,75,80.0,0,0,0
2022-08-30,89,73,81.0,0.12,0,0
2022-08-31,85,69,77.0,0.009,0,0
2022-09-01,86,69,77.5,0,0,0
2022-09-02,79,62,70.5,0,0,0
2022-09-03,82,65,73.5,0,0,0
2022-09-04,90,71,80.5,0.009,0,0
2022-09-05,88,73,80.5,0.06,0,0
2022-09-06,74,67,70.5,0.78,0,0
2022-09-07,72,65,68.5,0,0,0
2022-09-08,78,65,71.5,0,0,0
2022-09-09,80,62,71.0,0,0,0
2022-09-10,86,64,75.0,0,0,0
2022-09-11,76,67,71.5,0.32,0,0
2022-09-12,81,68,74.5,0.81,0,0
2022-09-13,82,68,75.0,0.41,0,0
2022-09-14,80,62,71.0,0,0,0
2022-09-15,74,62,68.0,0,0,0
2022-09-16,75,57,66.0,0,0,0
2022-09-17,76,64,70.0,0,0,0
2022-09-18,83,67,75.0,0,0,0
2022-09-19,85,68,76.5,0.14,0,0
2022-09-20,79,67,73.0,0,0,0
2022-09-21,80,62,71.0,0,0,0
2022-09-22,75,57,66.0,0.47,0,0
2022-09-23,63,51,57.0,0,0,0
2022-09-24,69,49,59.0,0,0,0
2022-09-25,72,59,65.5,1.11,0,0
2022-09-26,74,58,66.0,0,0,0
2022-09-27,70,59,64.5,0,0,0
2022-09-28,69,53,61.0,0,0,0
2022-09-29,66,53,59.5,0,0,0
2022-09-30,62,52,57.0,0,0,0
2022-10-01,61,51,56.0,0.59,0,0
2022-10-02,60,50,55.0,0.009,0,0
2022-10-03,53,47,50.0,0.47,0,0
2022-10-04,55,46,50.5,1.85,0,0
2022-10-05,59,54,56.5,0.37,0,0
2022-10-06,74,53,63.5,0,0,0
2022-10-07,76,58,67.0,0.009,0,0
2022-10-08,58,47,52.5,0.03,0,0
2022-10-09,61,44,52.5,0,0,0
2022-10-10,67,52,59.5,0,0,0
2022-10-11,70,51,60.5,0,0,0
2022-10-12,70,57,63.5,0,0,0
2022-10-13,69,54,61.5,0.8,0,0
2022-10-14,67,52,59.5,0.19,0,0
2022-10-15,68,50,59.0,0,0,0
2022-10-16,64,52,58.0,0,0,0
2022-10-17,66,53,59.5,0.14,0,0
2022-10-18,56,46,51.0,0.009,0,0
2022-10-19,54,42,48.0,0,0,0
2022-10-20,58,44,51.0,0,0,0
2022-10-21,62,46,54.0,0,0,0
2022-10-22,66,49,57.5,0,0,0
2022-10-23,61,54,57.5,0.02,0,0
2022-10-24,61,55,58.0,0.52,0,0
2022-10-25,70,61,65.5,0.009,0,0
2022-10-26,72,60,66.0,0,0,0
2022-10-27,65,52,58.5,0,0,0
2022-10-28,56,45,50.5,0,0,0
2022-10-29,58,43,50.5,0,0,0
2022-10-30,63,43,53.0,0,0,0
2022-10-31,65,51,58.0,0.1,0,0
2022-11-01,67,59,63.0,0.08,0,0
2022-11-02,70,54,62.0,0,0,0
2022-11-03,67,52,59.5,0,0,0
2022-11-04,70,53,61.5,0,0,0
2022-11-05,76,64,70.0,0,0,0
2022-11-06,75,66,70.5,0.009,0,0
2022-11-07,77,54,65.5,0.009,0,0
2022-11-08,58,47,52.5,0,0,0
2022-11-09,53,40,46.5,0,0,0
2022-11-10,66,47,56.5,0,0,0
2022-11-11,68,59,63.5,0.89,0,0
2022-11-12,69,60,64.5,0.08,0,0
2022-11-13,61,41,51.0,0.04,0,0
2022-11-14,45,37,41.0,0,0,0
2022-11-15,46,35,40.5,0.56,0,0
2022-11-16,50,39,44.5,0.28,0,0
2022-11-17,46,37,41.5,0,0,0
2022-11-18,44,34,39.0,0,0,0
2022-11-19,40,31,35.5,0,0,0
2022-11-20,40,30,35.0,0,0,0
2022-11-21,41,27,34.0,0,0,0
2022-11-22,51,37,44.0,0,0,0
2022-11-23,55,42,48.5,0,0,0
2022-11-24,54,40,47.0,0,0,0
2022-11-25,55,46,50.5,0.02,0,0
2022-11-26,57,42,49.5,0,0,0
2022-11-27,60,48,54.0,0.7,0,0
2022-11-28,54,41,47.5,0.009,0,0
2022-11-29,44,36,40.0,0,0,0
2022-11-30,58,40,49.0,0.5,0,0
2022-12-01,43,35,39.0,0,0,0
2022-12-02,47,32,39.5,0,0,0
2022-12-03,58,45,51.5,0.49,0,0
2022-12-04,45,38,41.5,0,0,0
2022-12-05,48,36,42.0,0,0,0
2022-12-06,58,42,50.0,1.05,0,0
2022-12-07,59,54,56.5,0.26,0,0
2022-12-08,55,42,48.5,0,0,0
2022-12-09,45,36,40.5,0,0,0
2022-12-10,39,32,35.5,0.009,0,0
2022-12-11,40,33,36.5,0.32,0.09,0
2022-12-12,38,28,33.0,0.01,0.09,0
2022-12-13,40,25,32.5,0,0,0
2022-12-14,39,31,35.0,0,0,0
2022-12-15,42,33,37.5,0.51,0,0
2022-12-16,44,38,41.0,0.85,0,0
2022-12-17,44,36,40.0,0,0,0
2022-12-18,40,32,36.0,0,0,0
2022-12-19,39,31,35.0,0,0,0
2022-12-20,39,30,34.5,0,0,0
2022-12-21,40,27,33.5,0,0,0
2022-12-22,47,35,41.0,0.23,0,0
2022-12-23,58,8,33.0,1.83,0.09,0
2022-12-24,15,7,11.0,0,0,0
2022-12-25,28,14,21.0,0,0,0
2022-12-26,29,18,23.5,0,0,0
2022-12-27,35,29,32.0,0,0,0
2022-12-28,47,33,40.0,0,0,0
2022-12-29,51,40,45.5,0,0,0
2022-12-30,62,46,54.0,0,0,0
2022-12-31,55,50,52.5,0.28,0,0
2023-01-01,55,49,52.0,0.009,0,0
2023-01-02,56,49,52.5,0.02,0,0
2023-01-03,58,47,52.5,0.42,0,0
2023-01-04,66,49,57.5,0.02,0,0
2023-01-05,50,44,47.0,0.01,0,0
2023-01-06,49,39,44.0,0.27,0,0
2023-01-07,45,37,41.0,0,0,0
2023-01-08,41,33,37.0,0,0,0
2023-01-09,44,37,40.5,0.01,0,0
2023-01-10,41,38,39.5,0,0,0
2023-01-11,39,35,37.0,0,0,0
2023-01-12,55,37,46.0,0.3,0,0
2023-01-13,57,38,47.5,0.09,0,0
2023-01-14,38,31,34.5,0.009,0.09,0
2023-01-15,41,30,35.5,0,0,0
2023-01-16,48,28,38.0,0,0,0
2023-01-17,47,35,41.0,0.009,0,0
2023-01-18,53,42,47.5,0.05,0,0
2023-01-19,44,40,42.0,0.87,0,0
2023-01-20,49,40,44.5,0.009,0,0
2023-01-21,42,37,39.5,0.009,0,0
2023-01-22,42,36,39.0,0.51,0,0
2023-01-23,39,36,37.5,0.41,0,0
2023-01-24,46,35,40.5,0,0,0
2023-01-25,54,35,44.5,0.9,0.09,0
2023-01-26,57,41,49.0,0.44,0,0
2023-01-27,44,35,39.5,0,0,0
2023-01-28,52,36,44.0,0,0,0
2023-01-29,53,42,47.5,0,0,0
2023-01-30,55,43,49.0,0,0,0
2023-01-31,50,31,40.5,0.06,0.09,0
2023-02-01,38,26,32.0,0.02,0.4,0.9
2023-02-02,40,29,34.5,0,0,0
2023-02-03,35,11,23.0,0,0,0
2023-02-04,27,3,15.0,0,0,0
2023-02-05,49,27,38.0,0,0,0
2023-02-06,52,34,43.0,0,0,0
2023-02-07,43,30,36.5,0.02,0,0
2023-02-08,53,39,46.0,0.009,0,0
2023-02-09,55,42,48.5,0,0,0
2023-02-10,61,45,53.0,0,0,0
2023-02-11,46,36,41.0,0,0,0
2023-02-12,48,38,43.0,0.01,0,0
2023-02-13,57,41,49.0,0,0,0
2023-02-14,54,40,47.0,0,0,0
2023-02-15,67,47,57.0,0,0,0
2023-02-16,70,56,63.0,0.07,0,0
2023-02-17,61,32,46.5,0.18,0.09,0
2023-02-18,43,27,35.0,0,0,0
2023-02-19,50,37,43.5,0,0,0
2023-02-20,61,47,54.0,0,0,0
2023-02-21,50,37,43.5,0.27,0,0
2023-02-22,44,37,40.5,0.14,0.09,0
2023-02-23,44,38,41.0,0.02,0,0
2023-02-24,45,25,35.0,0,0,0
2023-02-25,33,23,28.0,0.009,0.09,0
2023-02-26,50,30,40.0,0,0,0
2023-02-27,46,33,39.5,0.21,0.9,0
2023-02-28,38,32,35.0,0.34,0.9,2
2023-03-01,44,33,38.5,0,0,1
2023-03-02,54,39,46.5,0.009,0,0
2023-03-03,47,37,42.0,0.15,0,0
2023-03-04,45,38,41.5,0.99,0,0
2023-03-05,53,38,45.5,0,0,0
2023-03-06,52,40,46.0,0,0,0
2023-03-07,47,33,40.0,0.06,0.1,0.9
2023-03-08,48,31,39.5,0,0,0
2023-03-09,51,33,42.0,0,0,0
2023-03-10,46,35,40.5,0.36,0,0
2023-03-11,45,35,40.0,0.4,0.09,0
2023-03-12,48,34,41.0,0,0,0
2023-03-13,45,38,41.5,0.67,0,0
2023-03-14,38,33,35.5,0.13,0.09,0
2023-03-15,45,34,39.5,0,0,0
2023-03-16,59,34,46.5,0,0,0
2023-03-17,60,47,53.5,0.009,0,0
2023-03-18,56,40,48.0,0.02,0,0
2023-03-19,40,29,34.5,0,0,0
2023-03-20,51,31,41.0,0,0,0
2023-03-21,63,40,51.5,0,0,0
2023-03-22,62,48,55.0,0,0,0
2023-03-23,60,48,54.0,0.09,0,0
2023-03-24,55,44,49.5,0,0,0
2023-03-25,47,42,44.5,0.15,0,0
2023-03-26,63,44,53.5,0,0,0
2023-03-27,62,43,52.5,0.29,0,0
2023-03-28,52,42,47.0,0.009,0,0
2023-03-29,55,39,47.0,0.009,0,0
2023-03-30,46,31,38.5,0.01,0,0
2023-03-31,57,38,47.5,0,0,0
2023-04-01,72,51,61.5,0.38,0,0
2023-04-02,51,40,45.5,0,0,0
2023-04-03,59,39,49.0,0,0,0
2023-04-04,73,48,60.5,0,0,0
2023-04-05,57,46,51.5,0,0,0
2023-04-06,80,47,63.5,0.009,0,0
2023-04-07,60,42,51.0,0,0,0
2023-04-08,54,37,45.5,0,0,0
2023-04-09,57,40,48.5,0,0,0
2023-04-10,68,42,55.0,0,0,0
2023-04-11,75,51,63.0,0,0,0
2023-04-12,84,64,74.0,0,0,0
2023-04-13,90,67,78.5,0,0,0
2023-04-14,91,70,80.5,0,0,0
2023-04-15,75,59,67.0,0.02,0,0
2023-04-16,71,57,64.0,0,0,0
2023-04-17,68,53,60.5,0.009,0,0
2023-04-18,57,45,51.0,0,0,0
2023-04-19,64,45,54.5,0,0,0
2023-04-20,66,45,55.5,0.009,0,0
2023-04-21,71,51,61.0,0,0,0
2023-04-22,67,51,59.0,0.68,0,0
2023-04-23,69,50,59.5,1.51,0,0
2023-04-24,62,44,53.0,0,0,0
2023-04-25,60,46,53.0,0,0,0
2023-04-26,60,46,53.0,0,0,0
2023-04-27,57,49,53.0,0,0,0
2023-04-28,56,47,51.5,0.33,0,0
2023-04-29,53,47,50.0,2.46,0,0
2023-04-30,60,50,55.0,2.32,0,0
2023-05-01,61,49,55.0,0.09,0,0
2023-05-02,56,44,50.0,0.25,0,0
2023-05-03,57,47,52.0,0.009,0,0
2023-05-04,55,48,51.5,0.05,0,0
2023-05-05,66,48,57.0,0,0,0
2023-05-06,73,48,60.5,0,0,0
2023-05-07,78,54,66.0,0.02,0,0
2023-05-08,77,58,67.5,0.009,0,0
2023-05-09,71,54,62.5,0,0,0
2023-05-10,73,50,61.5,0,0,0
2023-05-11,80,57,68.5,0,0,0
2023-05-12,87,65,76.0,0,0,0
2023-05-13,82,66,74.0,0,0,0
2023-05-14,74,59,66.5,0,0,0
2023-05-15,74,52,63.0,0,0,0
2023-05-16,79,58,68.5,0,0,0
2023-05-17,69,50,59.5,0,0,0
2023-05-18,61,43,52.0,0,0,0
2023-05-19,70,52,61.0,0,0,0
2023-05-20,65,57,61.0,0.77,0,0
2023-05-21,70,55,62.5,0.02,0,0
2023-05-22,75,57,66.0,0,0,0
2023-05-23,70,54,62.0,0,0,0
2023-05-24,77,53,65.0,0.08,0,0
2023-05-25,68,50,59.0,0,0,0
2023-05-26,72,53,62.5,0,0,0
2023-05-27,78,56,67.0,0,0,0
2023-05-28,79,59,69.0,0,0,0
