nypd_pct_cd,incident_date,cip_jobs,counts
60.0,2022-01-01,Critical,7
60.0,2022-01-01,Non CIP,209
60.0,2022-01-01,Non Critical,6
60.0,2022-01-01,Serious,6
60.0,2022-01-02,Critical,3
60.0,2022-01-02,Non CIP,243
60.0,2022-01-02,Non Critical,10
60.0,2022-01-02,Serious,5
60.0,2022-01-03,Critical,2
60.0,2022-01-03,Non CIP,237
60.0,2022-01-03,Non Critical,3
60.0,2022-01-04,Critical,1
60.0,2022-01-04,Non CIP,221
60.0,2022-01-04,Non Critical,3
60.0,2022-01-04,Serious,3
60.0,2022-01-05,Critical,3
60.0,2022-01-05,Non CIP,208
60.0,2022-01-05,Non Critical,5
60.0,2022-01-05,Serious,4
60.0,2022-01-06,Critical,2
60.0,2022-01-06,Non CIP,217
60.0,2022-01-06,Non Critical,8
60.0,2022-01-06,Serious,3
60.0,2022-01-07,Critical,1
60.0,2022-01-07,Non CIP,242
60.0,2022-01-07,Non Critical,6
60.0,2022-01-07,Serious,4
60.0,2022-01-08,Critical,1
60.0,2022-01-08,Non CIP,257
60.0,2022-01-08,Non Critical,5
60.0,2022-01-08,Serious,6
60.0,2022-01-09,Critical,1
60.0,2022-01-09,Non CIP,239
60.0,2022-01-09,Non Critical,4
60.0,2022-01-09,Serious,11
60.0,2022-01-10,Non CIP,263
60.0,2022-01-10,Non Critical,4
60.0,2022-01-10,Serious,3
60.0,2022-01-11,Critical,1
60.0,2022-01-11,Non CIP,231
60.0,2022-01-11,Non Critical,5
60.0,2022-01-11,Serious,5
60.0,2022-01-12,Non CIP,267
60.0,2022-01-12,Non Critical,4
60.0,2022-01-12,Serious,3
60.0,2022-01-13,Critical,3
60.0,2022-01-13,Non CIP,244
60.0,2022-01-13,Non Critical,2
60.0,2022-01-13,Serious,4
60.0,2022-01-14,Critical,2
60.0,2022-01-14,Non CIP,268
60.0,2022-01-14,Non Critical,6
60.0,2022-01-14,Serious,1
60.0,2022-01-15,Non CIP,251
60.0,2022-01-15,Non Critical,2
60.0,2022-01-15,Serious,4
60.0,2022-01-16,Non CIP,249
60.0,2022-01-16,Non Critical,7
60.0,2022-01-16,Serious,2
60.0,2022-01-17,Critical,1
60.0,2022-01-17,Non CIP,273
60.0,2022-01-17,Non Critical,8
60.0,2022-01-17,Serious,2
60.0,2022-01-18,Critical,4
60.0,2022-01-18,Non CIP,249
60.0,2022-01-18,Non Critical,6
60.0,2022-01-18,Serious,3
60.0,2022-01-19,Critical,2
60.0,2022-01-19,Non CIP,242
60.0,2022-01-19,Non Critical,7
60.0,2022-01-19,Serious,2
60.0,2022-01-20,Non CIP,263
60.0,2022-01-20,Non Critical,2
60.0,2022-01-20,Serious,9
60.0,2022-01-21,Non CIP,256
60.0,2022-01-21,Non Critical,7
60.0,2022-01-22,Critical,3
60.0,2022-01-22,Non CIP,241
60.0,2022-01-22,Non Critical,4
60.0,2022-01-22,Serious,8
60.0,2022-01-23,Critical,4
60.0,2022-01-23,Non CIP,212
60.0,2022-01-23,Non Critical,7
60.0,2022-01-23,Serious,2
60.0,2022-01-24,Critical,2
60.0,2022-01-24,Non CIP,244
60.0,2022-01-24,Non Critical,5
